Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers
2024,"Agriculture, forestry and fishing",F,4.045315028784666,68.25015952737137,11.82086
2025,"Agriculture, forestry and fishing",F,10.159101010916624,49.545552436322836,14.62664
2026,"Agriculture, forestry and fishing",F,9.473480583784971,28.462843752904334,13.061773
2027,"Agriculture, forestry and fishing",F,9.775915743468198,-3.5580844473223863,13.026127
2024,Mining and quarrying,F,5539.8288264266885,22778.477118309507,5766.9507
2025,Mining and quarrying,F,7410.36526441497,22928.63622475482,7202.1616
2026,Mining and quarrying,F,6639.8883967391885,23724.430965861866,6480.8506
2027,Mining and quarrying,F,6319.25930738372,24154.522804812164,6064.961
2024,Manufacturing,F,2645.0789046338195,15885.492631887882,2590.3403
2025,Manufacturing,F,3450.0540480664367,15845.828614320146,3157.8843
2026,Manufacturing,F,3241.5867323926086,16274.072526128242,2933.4753
2027,Manufacturing,F,3111.885667329132,16546.7516531437,2792.251
2024,"Electricity, gas, steam and air conditioning supply",F,2597.20379903854,22862.87713960688,2465.0938
2025,"Electricity, gas, steam and air conditioning supply",F,3293.249795154856,22912.100701254985,2925.4785
2026,"Electricity, gas, steam and air conditioning supply",F,3125.136886241875,23518.83219279837,2746.4033
2027,"Electricity, gas, steam and air conditioning supply",F,3016.4632778660034,23866.763974713263,2630.4468
2024,"Water supply; sewerage, waste management and remediation activities",F,503.98669194763545,19061.785369223737,592.6909
2025,"Water supply; sewerage, waste management and remediation activities",F,737.7312865216101,19308.453820281335,748.5326
2026,"Water supply; sewerage, waste management and remediation activities",F,668.7361235577429,19860.63322234458,682.0592
2027,"Water supply; sewerage, waste management and remediation activities",F,661.3359160382116,20091.465951992603,671.3971
2024,Construction,F,7358.853878583368,14787.193303794049,7160.0273
2025,Construction,F,9281.97820719665,14905.035750238945,8524.025
2026,Construction,F,8687.432247723993,15315.950718396774,7885.6367
2027,Construction,F,8276.364559735712,15498.997656509724,7447.0234
2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,26195.128398948516,9846.653048641125,28387.285
2025,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,32376.647441917266,9908.509269941615,32319.512
2026,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,29104.452129417266,10156.15943239902,28963.602
2027,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,27501.26731496414,10319.889107562125,27087.969
2024,Transportation and storage,F,15702.972130096638,18443.370089656746,14322.586
2025,Transportation and storage,F,19226.016807831013,18560.33796230884,16682.49
2026,Transportation and storage,F,18059.6172716982,19154.068783504405,15340.835
2027,Transportation and storage,F,17054.116539276325,19445.495152509975,14232.272
2024,Accommodation and food service activities,F,19734.592745906622,8278.770360938539,20005.988
2025,Accommodation and food service activities,F,24195.995211726935,8382.144042059716,22664.31
2026,Accommodation and food service activities,F,22092.542208797247,8627.414918160946,20608.66
2027,Accommodation and food service activities,F,20953.57455743006,8831.708477133892,19446.307
2024,Information and communication,F,5319.967246400853,23593.338427214927,7057.156
2025,Information and communication,F,6699.952903139134,23864.607286299033,8198.615
2026,Information and communication,F,6365.994895326634,24572.295715591754,7917.244
2027,Information and communication,F,6088.828330385228,24925.888591879986,7643.454
2024,Financial and insurance activities,F,8123.504480190502,26949.270816884142,8469.863
2025,Financial and insurance activities,F,10154.506494350659,26837.20888464096,9844.429
2026,Financial and insurance activities,F,9539.237573452221,27288.86936346825,9244.859
2027,Financial and insurance activities,F,9065.946496792065,27646.895201857547,8818.683
2024,Real estate activities,F,1907.8789754914872,21866.302109998338,1915.0085
2025,Real estate activities,F,2420.589150052034,21909.450198948634,2293.2446
2026,Real estate activities,F,2337.2221914338697,22515.339922706116,2166.6875
2027,Real estate activities,F,2250.2143789338697,22876.458176633147,2045.9609
2024,"Professional, scientific and technical activities",F,4565.006787901669,15106.078116429104,4013.0552
2025,"Professional, scientific and technical activities",F,5777.538800841122,15217.102194928108,4791.939
2026,"Professional, scientific and technical activities",F,5449.754987364559,15701.51032610954,4339.4434
2027,"Professional, scientific and technical activities",F,5211.2413460071375,15888.713896796042,4059.8901
2024,Administrative and support service activities,F,22686.86780327731,9631.116429495305,34834.457
2025,Administrative and support service activities,F,27082.470708550747,9538.996786434092,37196.17
2026,Administrative and support service activities,F,25164.00110405856,9617.933733871136,34155.977
2027,Administrative and support service activities,F,23851.234624566372,9679.33170568588,32264.537
2024,Public administration and defence; compulsory social security,F,22362.297084142996,27328.35450257646,21515.389
2025,Public administration and defence; compulsory social security,F,27684.04781656487,27333.531734125663,25209.295
2026,Public administration and defence; compulsory social security,F,25134.657923986746,28033.481231299866,23156.291
2027,Public administration and defence; compulsory social security,F,23460.247279455496,28404.180001246674,21765.186
2024,Education,F,40369.36369905782,24194.927994618516,38077.01
2025,Education,F,49427.40202913595,24322.936474609374,44866.555
2026,Education,F,44484.39104280782,24961.382696143613,40330.336
2027,Education,F,41576.3390408547,25323.239362221575,37130.07
2024,Human health and social work activities,F,34915.83010812735,19873.50846414769,39512.56
2025,Human health and social work activities,F,41673.65652414298,20059.295020050697,43721.727
2026,Human health and social work activities,F,38819.2417292211,20749.600996301528,41182.066
2027,Human health and social work activities,F,36473.11990304923,21061.87257911195,39191.555
2024,"Arts, entertainment and recreation",F,2768.2882463334918,22101.00988302028,2254.713
2025,"Arts, entertainment and recreation",F,3493.749473750484,22284.714313653174,2798.9475
2026,"Arts, entertainment and recreation",F,3375.382103145015,23070.900405688997,2686.541
2027,"Arts, entertainment and recreation",F,3219.634742915523,23454.34212880236,2473.2512
2024,Other service activities,F,4973.697819792664,8545.411101515749,5449.254
2025,Other service activities,F,6433.869023405945,8663.302680222532,6337.616
2026,Other service activities,F,5739.3066454762575,8827.95938707717,5694.28
2027,Other service activities,F,5586.010624968445,8980.875556458817,5529.202
2024,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,101943.64786368239,3048.731566473778,102737.67
2025,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,125953.37442618239,3037.921649104991,121253.805
2026,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,107803.12442618239,3084.4313134376034,107543.42
2027,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,98343.29434805739,3120.30672360684,99465.89
2024,"Agriculture, forestry and fishing",M,33762.82049692057,4469.245084202543,32456.613
2025,"Agriculture, forestry and fishing",M,41353.839214125415,4510.2719227892285,38181.938
2026,"Agriculture, forestry and fishing",M,37313.74977703338,4652.850302968127,35060.53
2027,"Agriculture, forestry and fishing",M,34892.86077939447,4751.114211127098,33011.055
2024,Mining and quarrying,M,49640.59111493851,32755.965511240858,62792.723
2025,Mining and quarrying,M,68259.474904001,32731.050533473237,76162.07
2026,Mining and quarrying,M,54132.56035321976,33212.697535218584,63210.68
2027,Mining and quarrying,M,48884.73662275101,33861.17445094332,56245.85
2024,Manufacturing,M,114743.95472409362,9598.353172010056,125072.83
2025,Manufacturing,M,143255.24378659364,9637.593478458486,145009.08
2026,Manufacturing,M,120059.97132565612,9845.248429058967,125689.35
2027,Manufacturing,M,108929.45472409362,9963.652640614611,115302.9
2024,"Electricity, gas, steam and air conditioning supply",M,15233.367106326945,25578.738832903924,15818.232
2025,"Electricity, gas, steam and air conditioning supply",M,19591.165934451947,25634.68817787982,19091.055
2026,"Electricity, gas, steam and air conditioning supply",M,17502.32047546757,26272.953559778092,17446.857
2027,"Electricity, gas, steam and air conditioning supply",M,16383.306193241007,26621.48875550615,16472.318
2024,"Water supply; sewerage, waste management and remediation activities",M,7170.009917015348,23248.541595588846,7930.5806
2025,"Water supply; sewerage, waste management and remediation activities",M,9476.158842796598,22991.933179230386,9345.717
2026,"Water supply; sewerage, waste management and remediation activities",M,8664.77957033566,23150.779145975313,8583.555
2027,"Water supply; sewerage, waste management and remediation activities",M,8124.569914573942,23461.150971887466,8106.2764
2024,Construction,M,637979.3566354932,5982.687560126122,695038.7
2025,Construction,M,768707.8566354932,6024.372321725399,782879.7
2026,Construction,M,627807.0910104932,6149.4104925926695,665002.5
2027,Construction,M,555008.5753854932,6232.798604372714,597413.1
2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,213053.21174323873,8016.835855037608,218401.97
2025,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,258423.85041511373,8008.068214838556,250652.53
2026,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,220138.66486823873,8230.472647808967,219887.25
2027,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,199033.58479011373,8299.408637253782,200837.78
2024,Transportation and storage,M,98754.64627046081,11945.098124272772,92957.195
2025,Transportation and storage,M,116564.49197358581,12212.193728702627,104261.42
2026,Transportation and storage,M,105153.47244233581,12754.848565543965,91566.555
2027,Transportation and storage,M,97504.31814546081,13062.285170534822,83181.234
2024,Accommodation and food service activities,M,63413.33898303527,6977.276331475441,62714.836
2025,Accommodation and food service activities,M,76844.2461414468,7014.859203711976,72429.086
2026,Accommodation and food service activities,M,68552.25876860831,7201.899377571268,65842.016
2027,Accommodation and food service activities,M,64217.19473561358,7283.597597812084,61982.535
2024,Information and communication,M,17871.018847188534,29916.97657392786,20286.332
2025,Information and communication,M,22163.520367513185,30108.398088950296,23405.09
2026,Information and communication,M,20320.12760072847,30989.012288584607,21538.621
2027,Information and communication,M,19298.11447261562,31404.238577335436,20180.434
2024,Financial and insurance activities,M,16246.403185639181,29626.87617758893,15787.318
2025,Financial and insurance activities,M,20051.63170126418,29815.171044921874,18414.0
2026,Financial and insurance activities,M,18464.15953329543,30593.050755277593,16697.705
2027,Financial and insurance activities,M,17388.22923544387,31038.519844477225,15561.53
2024,Real estate activities,M,16872.874990102315,14760.201237065741,16393.277
2025,Real estate activities,M,20967.966611855845,14959.606223248422,19253.014
2026,Real estate activities,M,19185.169927945313,15539.123338804853,17732.752
2027,Real estate activities,M,18065.736647355094,15896.496644365026,16654.438
2024,"Professional, scientific and technical activities",M,29624.90761841645,16139.101799108626,28634.45
2025,"Professional, scientific and technical activities",M,37482.56606568208,16387.964592077376,33238.133
2026,"Professional, scientific and technical activities",M,32694.150050057076,16894.18272445354,28603.885
2027,"Professional, scientific and technical activities",M,30249.881495369576,17258.565519032578,26210.09
2024,Administrative and support service activities,M,122852.53910871055,5420.69804557638,165277.34
2025,Administrative and support service activities,M,144545.83598371054,5511.096588264627,175855.53
2026,Administrative and support service activities,M,130226.92875714805,5755.522514310796,160751.94
2027,Administrative and support service activities,M,121147.54887433555,5870.350197130569,150402.06
2024,Public administration and defence; compulsory social security,M,84407.45392596703,31986.10286527593,80149.72
2025,Public administration and defence; compulsory social security,M,103602.23859393578,32190.035294942652,94528.84
2026,Public administration and defence; compulsory social security,M,90432.54425799828,32957.752415433846,83261.445
2027,Public administration and defence; compulsory social security,M,82666.77912127953,33414.76060609209,75669.26
2024,Education,M,25751.202849538404,25107.55686918218,23526.893
2025,Education,M,31236.09335246809,25231.28991335605,27583.39
2026,Education,M,28800.571501882154,25799.48223747091,25102.86
2027,Education,M,26872.730803639966,26206.385314681684,22684.732
2024,Human health and social work activities,M,39609.96999589504,23078.39227424784,53527.42
2025,Human health and social work activities,M,47108.39846269191,23137.750645674034,58847.098
2026,Human health and social work activities,M,43536.00319902004,23758.71158992686,54418.957
2027,Human health and social work activities,M,41016.48928300441,24129.285243517286,50533.32
2024,"Arts, entertainment and recreation",M,9557.695923903466,22998.994470994017,8246.006
2025,"Arts, entertainment and recreation",M,12291.02935896206,22890.86132500831,10274.663
2026,"Arts, entertainment and recreation",M,11319.027100661278,23267.476870532744,9344.018
2027,"Arts, entertainment and recreation",M,10583.386170485497,23438.818877524518,8351.269
2024,Other service activities,M,10914.676179466196,11363.023366595327,10894.276
2025,Other service activities,M,13903.296418724009,11345.567763827708,13149.446
2026,Other service activities,M,12700.080842552134,11555.182617447224,12205.283
2027,Other service activities,M,12019.161164817759,11665.355304344663,11609.722
2024,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,65884.73378051267,3063.4629306225065,65642.695
2025,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,81446.81776488767,3040.555276554189,77616.445
2026,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,70743.87245238767,3083.0166118216007,69483.37
2027,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,65254.22059691893,3107.7150852933846,64771.04
